用户ID,总消费金额,价值等级
1,77126,高
2,60247,中
3,43898,中
4,56664,中
5,32189,低
6,39280,低
7,69634,中
8,24160,低
9,162924,高
10,64198,中
11,90553,高
12,90244,高
13,49826,中
14,59521,中
16,65137,中
17,39506,低
18,7685,低
19,50033,中
20,65611,中
21,86993,高
22,190519,高
23,80168,高
24,119232,高
25,24080,低
26,78023,高
27,57070,中
28,66792,中
29,33295,低
30,56198,中
31,38306,低
32,70353,中
33,36273,低
34,48925,中
35,67066,中
36,32694,低
37,69004,中
38,50233,中
39,116731,高
40,108774,高
41,105621,高
42,105971,高
43,10347,低
44,39542,低
45,79369,高
46,53258,中
47,40323,低
48,70410,中
49,97611,高
51,40124,低
52,41708,中
53,54606,中
54,37429,低
55,121354,高
56,48647,中
57,17358,低
58,55664,中
59,84760,高
60,25503,低
61,55696,中
62,87708,高
63,128133,高
64,76127,高
65,24321,低
66,79535,高
67,50459,中
68,52863,中
69,12390,低
70,92418,高
71,66461,中
72,32488,低
73,9704,低
74,126866,高
75,113219,高
76,27821,低
77,100167,高
78,54061,中
79,86681,高
80,142186,高
81,90487,高
82,28145,低
83,99724,高
84,23715,低
85,71814,中
86,67076,中
87,46289,中
88,136393,高
89,84459,高
90,8186,低
91,54059,中
92,89522,高
93,52164,中
94,14102,低
95,56672,中
96,133039,高
97,26721,低
98,60064,中
99,77909,高
100,207641,高
101,52309,中
102,16441,低
103,40048,低
104,28746,低
105,19088,低
106,33741,低
107,84682,高
108,56263,中
109,68258,中
110,17844,低
111,11742,低
112,85645,高
113,42863,中
114,205910,高
115,24334,低
116,59412,中
117,63266,中
118,48541,中
119,50383,中
120,9168,低
121,48702,中
122,81329,高
123,56323,中
124,57703,中
125,107908,高
126,125766,高
127,63782,中
128,119044,高
129,72215,中
130,24472,低
131,129150,高
132,53137,中
133,32721,低
134,41242,低
135,27072,低
136,67032,中
137,38804,低
138,109907,高
139,50750,中
140,36792,低
141,119746,高
142,15136,低
143,96226,高
144,71441,中
145,44105,中
146,129785,高
147,125533,高
148,22150,低
149,43211,中
150,54342,中
151,199992,高
152,9782,低
153,73181,中
154,28149,低
155,29581,低
156,41199,低
157,13460,低
158,26307,低
159,64911,中
160,40750,低
161,61866,中
162,57146,中
163,87764,高
164,144008,高
165,256535,高
166,33135,低
167,16659,低
168,99781,高
169,52335,中
170,96983,高
171,122562,高
172,66876,中
173,49993,中
174,61938,中
175,81439,高
176,100438,高
177,108048,高
178,62999,中
179,52517,中
180,49111,中
181,40109,低
182,86837,高
183,34001,低
184,35864,低
185,100667,高
186,59829,中
187,86389,高
188,42866,中
189,62816,中
190,6948,低
191,40636,低
192,86819,高
193,100518,高
194,61583,中
195,24610,低
196,24032,低
197,64898,中
198,56392,中
199,31079,低
200,102459,高
201,9841,低
202,157211,高
203,33076,低
204,157366,高
205,175696,高
206,61809,中
207,57477,中
208,58360,中
209,70016,中
210,40797,低
211,133575,高
212,149488,高
213,62954,中
214,20638,低
215,63766,中
216,119397,高
217,50477,中
218,98391,高
219,22842,低
220,24403,低
221,45074,中
222,84619,高
223,64347,中
224,101211,高
225,103997,高
226,145094,高
227,35446,低
228,41714,中
230,90707,高
231,56323,中
232,57714,中
233,94729,高
234,92399,高
235,55168,中
236,26969,低
237,40618,低
238,8250,低
239,102939,高
240,42234,中
241,67175,中
242,19351,低
243,83237,高
244,19952,低
245,30746,低
246,15574,低
247,47274,中
248,50191,中
249,37613,低
250,60208,中
251,31417,低
252,75911,高
253,67259,中
254,92618,高
255,102467,高
256,71163,中
257,36924,低
258,37333,低
259,76829,高
260,101592,高
261,9665,低
262,44515,中
263,32581,低
264,62008,中
265,38326,低
266,113169,高
267,100342,高
268,37094,低
269,43040,中
270,57787,中
271,70742,中
272,13200,低
